Paper,Disease,TRUE,Surrogate,Trial,Patients Treatment,Patients Control,HR Surrogate,CI Surrogate,HR True,CI True,
BUYSE1107,Colorectal Cancer,OS,PFS,Crema,49,99,0.26,"[0.16,0.41]",0.42,"[0.28,0.64]",
BUYSE1107,Colorectal Cancer,OS,PFS,NCCTG,69,137,0.66,"[0.48,0.91]",0.78,"[0.58,1.06]",
BUYSE1107,Colorectal Cancer,OS,PFS,Siena,91,94,0.86,"[0.64,1.15]",0.68,"[0.5,0.92]",
BUYSE1107,Colorectal Cancer,OS,PFS,EORTC,164,326,0.86,"[0.71,1.05]",0.93,"[0.76,1.14]",
BUYSE1107,Colorectal Cancer,OS,PFS,SWOG,93,178,0.89,"[0.69,1.15]",0.96,"[0.75,1.25]",
BUYSE1107,Colorectal Cancer,OS,PFS,SAKK,157,152,0.92,"[0.74,1.16]",0.89,"[0.71,1.12]",
BUYSE1107,Colorectal Cancer,OS,PFS,HECOG,67,68,0.95,"[0.66,1.36]",0.99,"[0.66,1.47]",
BUYSE1107,Colorectal Cancer,OS,PFS,TCCSG-US,216,206,0.62,"[0.51,0.76]",0.74,"[0.59,0.92]",
BUYSE1107,Colorectal Cancer,OS,PFS,TCCSG-EU1,246,243,0.75,"[0.61,0.91]",0.87,"[0.67,1.12]",
BUYSE1107,Colorectal Cancer,OS,PFS,TCCSG-EU2,222,212,0.93,"[0.77,1.13]",1,"[0.81,1.25]",
BUYSE1107,Colorectal Cancer,OS,PFS,Irinotecan-EU,188,199,1.32,"[1.05,1.64]",1.31,"[1.02,1.67]",
BUYSE1107,Colorectal Cancer,OS,PFS,Irinotecan-US,226,230,1.22,"[1,1.48]",1.24,"[1,1.53]",
BUYSE1107,Colorectal Cancer,OS,PFS,Oxaliplatin-EU,210,210,1.53,"[1.23,1.9]",1.21,"[0.94,1.55]",
BURZY0408,MBC,OS,PFS,UKCCR,,,1.06,"[0.92,1.24]",1.02,"[0.87,1.19]",
BURZY0408,MBC,OS,PFS,AGO,,,0.94,"[0.78,1.13]",1.16,"[0.94,1.43]",
BURZY0408,MBC,OS,PFS,EORTC 10961,,,0.95,"[0.74,1.20]",1.12,"[0.82,1.53]",
"BURZY0408
",MBC,OS,PFS,CCEI,,,0.73,"[0.56,0.95]",0.69,"[0.51,0.93]",
"BURZY0408
",MBC,OS,PFS,Tax307,,,0.96,"[0.79,1.17]",0.96,"[0.78,1.19]",
"BURZY0408
",MBC,OS,PFS,Tax306,,,0.88,"[0.72,1.08]",0.89,"[0.72,1.11]",
"BURZY0408
",MBC,OS,PFS,CCC,,,0.67,"[0.51,0.88]",0.7,"[0.52,0.94]",
"BURZY0408
",MBC,OS,PFS,French,,,0.9,"[0.62,1.31]",0.79,"[0.50,1.25]",
"BURZY0408
",MBC,OS,PFS,ECOG,,,0.97,"[0.81,1.16]",0.94,"[0.78,1.14]",
"BURZY0408
",MBC,OS,PFS,EORTC 10923,,,1.69,"[1.35,2.11]",1.08,"[0.86,1.36]",
"BURZY0408
",MBC,OS,PFS,Tax303,,,1.02,"[0.65,1.60",1.18,"[0.68,2.03]",
"BURZY0408
",MBC,OS,TTP,UKCCR,,,1.06,"[0.92,1.24]",1.02,"[0.87,1.19]",
"BURZY0408
",MBC,OS,TTP,AGO,,,0.94,"[0.78,1.13]",1.16,"[0.94,1.43]",
