Unique_ID,Arm.Name,Randomized,KM_Curves,Rand_Group,N_Patient,OS,OS_Comp,OS_pval,OS_events,OS_KM,OS_Note,TTP,TTP_Comp,TTP_pval,TTP_KM,TTP_events,TTP_Note,PFS,PFS_Comp,PFS_pval,PFS_KM,PFS_events,PFS_Note
ABRAM0199_T1,160 mg,Yes,Yes,,123,27.8,,,,ABRAM0199_OS_160.xml,Overall p-value 0.54,8.3,,,ABRAM0199_TTP_160.xml,123,,,,,,,
ABRAM0199_T2,800 mg,Yes,Yes,,124,24.4,,,,ABRAM0199_OS_800.xml,,7,,,ABRAM0199_TTP_800.xml,124,"\Not of statistical significance\""""",,,,,,
ABRAM0199_T3,1600 mg,Yes,Yes,,119,28.6,,,,ABRAM0199_OS_1600.xml,,8.1,,,ABRAM0199_TTP_1600.xml,119,"\Not of statistical significance\""""",,,,,,
ACKLA0201_T1,CEF,Yes,Yes,,223,20.1,"HR 0.87 [0.7, 1.1] p=0.23",,,ACKLA0201_OS_CEF.xml,,8.7,"HR 0.73 [0.59, 0.92]",,ACKLA0201_TTP_CEF.xml,,,,,,,,
ACKLA0201_T2,CMF,Yes,Yes,,237,18.2,,,,ACKLA0201_OS_CMF.xml,,6.3,,,ACKLA0201_TTP_CMF.xml,,,,,,,,
AHMAD0614_T1,Taxotere,Yes,,,23,,,,,,,,,,,,,,,,,,
AHMAD0614_T2,NDLS,Yes,,,49,,,,,,,,,,,,,,,,,,
AHMAN0174_T1,methyl-CCNU,Yes,,,22,,,,,,,,,,,,,,,,,,
AHMAN0174_T2,Multiple drugs alone,Yes,,,11,,,,,,,,,,,,,,,,,,
AHMAN0174_T3,Multiple drugs with vincristine,Yes,,,10,,,,,,,,,,,,,,,,,,
AHMAN0177_T1,Dianhydrogalactitol,Yes,,,18,3.27,,,,,Nothing more reported,,,,,,,,,,,,
AHMAN0177_T2,ICRF-159,Yes,,,14,2.1,,,,,Nothing more reported,,,,,,,,,,,,
AHMAN0576_T1,VP-16-213,Yes,,,19,2.89,,,,,"Nothing more reported; in fact, this is mean, not median OS",,,,,,,,,,,,
AHMAN0576_T2,Cytembena,Yes,,,15,2.94,,,,,"Nothing more reported; in fact, this is mean, not median OS",,,,,,,,,,,,
AHMAN0691_T1,CFP,Yes,,,47,15.8,,0.77,39,AHMAN0691_OS_CFP.xml,,4.7,,,,,,,,,,,
AHMAN0691_T2,CAP,Yes,,,46,17.3,,,37,AHMAN0691_OS_CAP.xml,,6.6,"HR 0.91 [0.60, 1.38] p=0.65",,,,,,,,,,
AISNE0695_T1,CAF,Yes,,,165,14.83,,,152,AISNE0695_OS_CAF.xml,,,,,,,,,,,,,
AISNE0695_T2,VATH,Yes,,,164,17.15,,,153,AISNE0695_OS_VATH.xml,,,,,,,,,,,,,
AISNE0695_T3,VATH/CMFVP,Yes,,,162,17.39,,,146,AISNE0695_OS_VATHCMFVP.xml,overall p=0.1710,,,,,,,,,,,,
AISNE1087_T1,CMF,Yes,,,99,14.93,,-0.04,52,AISNE1087_OS_CMF.xml,,,,,,,,,,,,,
AISNE1087_T2,CAF,Yes,,,82,24.73,,,35,AISNE1087_OS_CAF.xml,,,,,,,,,,,,,
AISNE1087_T3,CAFVP,Yes,,,79,16.33,,-0.08,46,AISNE1087_OS_CAFVP.xml,,,,,,,,,,,,,
ALBA0710_T1,PLD,Yes,Yes,,78,24.8,"HR 0.86 [0.58, 1.27] p=0.435",,,ALBA0710_OS_PLD.xml,,8.4,"HR 0.54 [0.39, 0.76] p=0.0002",,ALBA0710_TTP_PLD.xml,,,,,,,,
ALBA0710_T2,Observation,Yes,Yes,,77,22,,,,ALBA0710_OS_OBS.xml,,5.1,,,ALBA0710_TTP_OBS.xml,,,,,,,,
ALBAI0808_T1,Gemcitabine / Paclitaxel,Yes,Yes,,261,18.6,"HR 0.82 [0.67, 1.00] p=0.0493",,,ALBAI0808_OS_GT.xml,,6.14,"HR 0.70 [0.59, 0.85]",,ALBAI0808_TTP_GT.xml,,,5.9,"HR 0.73 [0.61, 0.87] p=0.0005",,,,
ALBAI0808_T2,Paclitaxel,Yes,Yes,,260,15.8,,,,ALBAI0808_OS_T.xml,,3.98,,,ALBAI0808_TTP_T.xml,,,3.9,,,,,
ALBAO0704_T1,A --> T,Yes,,,75,,,,,,,,,,ALBAO0704_TTP_A-T.xml,,,,,,,,
ALBAO0704_T2,AT,Yes,,,69,21.8,,,,,,9.2,,,ALBAO0704_TTP_AT.xml,,,,,,,,
ALLEG0685_T1,Mitoxantrone,Yes,,,113,,,,,,,,,,,,,,,,ALLEG0685_PFS_MITOXANTRONE.xml,,
ALLEG0685_T2,Doxorubicin,Yes,,,107,,,,,,,,,,,,,,,,ALLEG0685_PFS_DOXORUBICIN.xml,,
ALONS0495_T1,CAF,Yes,,,50,18,,,,ALONS0495_OS_CAF.xml,,,,,,,,,,,,,
ALONS0495_T2,CNF,Yes,,,50,19,,,,ALONS0495_OS_CNF.xml,,,,,,,,,,,,,
ALONS0588_T1,Tamoxifen,Yes,,,34,,,,,,,,,,,,,,,,,,
ALONS0588_T2,Tamoxifen plus aminoglutethimidine,Yes,,,34,,,,,,,,,,,,,,,,,,
ALONS0588_T3,Aminoglutethimidine,Yes,,,33,,,,,,,,,,,,,,,,,,
AMADO0513_T1,Pemetrexed-carboplatin,Yes,,,69,,,,,,,5.1,,,AMADO0513_TTP_pem.xml AMADO0513_TTP_pem_censor.xml,48,Also have counts at various months,,,,,,
AMADO0513_T2,Vinorelbine-gemcitabine,Yes,,,66,,,,,,,5.6,,,AMADO0513_TTP_vin.xml AMADO0513_TTP_vin_censor.xml,46,,,,,,,
AMADO0698_T1,DOX,Yes,,,68,24,,,,,no additional information,6.5,,,,,no additional information,,,,,,
AMADO0698_T2,DOX + LND,Yes,,,69,23,,,,,no additional information,6,,,,,no additional information,,,,,,
ANDER0111_T1,Docetaxel + Trastuzumab,Yes,,,143,35.7,,,,,,12.4,,,,,,,,,,,
ANDER0111_T2,Vinorelbine + Trastuzumab,Yes,,,141,38.8,"HR 1.01 [0.71, 1.42] p=0.98",,,,,15.3,"HR 0.94 [0.71, 1.25] p=0.67",,,,,,,,,,
ANDER0199_T1,CAF+TAM,Yes,Yes,,161,20.8,,0.17,158,ANDER0199_OS_CAF.xml,,11.8,,,ANDER0199_TTP_CAF.xml,161,overall p=0.001; also have counts at various months,,,,,,
ANDER0199_T2,CMF+TAM,Yes,Yes,,180,17.4,,,180,ANDER0199_OS_CMF.xml,,6.5,,,ANDER0199_TTP_CMF.xml,180,,,,,,,
ANDER1086_T1,ADR,Yes,,,42,9.3,,,,,no additional information,5.2,,,,,no additional information,,,,,,
ANDER1086_T2,ADR + MMC,Yes,,,39,10.2,,,,,no additional information,7.7,,,,,no additional information,,,,,,
ANDRE0514_T1,Everolimus group,Yes,,,284,,,,,,,,,,,,,7,"HR 0.78 [0.65, 0.95] p=0.0067",,,,
ANDRE0514_T2,Placebo group,Yes,,,285,,,,,,,,,,,,,5.78,,,,,
ARPIN0203_T1,Idoxifene,Yes,Yes,,108,,,0.77,,ARPIN0203_OS_idoxifene.xml,,5.53,,,ARPIN0203_TTP_idoxifene.xml,108,overall p=0.32,,,,,,
ARPIN0203_T2,Tamoxifen,Yes,Yes,,111,,,,,ARPIN0203_OS_tamoxifen.xml,,4.67,,,ARPIN0203_TTP_tamoxifen.xml,111,,,,,,,
AUSTR0286_T1,TAM,Yes,,,113,21,,,,AUSTR0286_OS_TAM.xml,,,,,,,,,,,,,
AUSTR0286_T2,TAM + AC,Yes,,,113,20,,,,AUSTR0286_OS_TAMAC.xml,,,,,,,,,,,,,
AUSTR0286_T3,AC,Yes,,,113,18,,,,AUSTR0286_OS_AC.xml,,,,,,,,,,,,,
AWADA0414_T1,Endo + PAC,Yes,Yes,,55,13,,,,AWADA0414_OS_endopac.xml,Also reports patient counts,,,,,,,4.2,,,AWADA0414_PFS_endopac.xml,55,Also reports patient counts
AWADA0414_T2,Endo mono,Yes,Yes,,57,11.9,,,,AWADA0414_OS_endo.xml,,,,,,,,3.4,,,AWADA0414_PFS_endo.xml,57,
AWADA0414_T3,PAC mono,Yes,Yes,,28,13.1,,,,AWADA0414_OS_paclitaxel.xml,,,,,,,,3.7,,,AWADA0414_PFS_paclitaxel.xml,28,
