Unique_ID,Phase,Arm_Type
ABDUL0105_T,II,
ABRAM0895_T,II,
ABRAM0199_T1,III,control
ABRAM0199_T2,III,experiment
ABRAM0199_T3,III,experiment
ACEVE0215_T,II,
ACKLA0201_T1,III,experiment
ACKLA0201_T2,III,control
ADACH0196_T,II,
ADAMO0608_T,II,
ADDEO0708_T,II,
ADDEO0810_T,II,
ADENI0695_T,II,
AGELA0503_T,II,
AGELA0615_T,II,
AGOST0294_T,II,
AHMAD0614_T1,II,
AHMAD0614_T2,II,
AHMAN0174_T1,II,
AHMAN0174_T2,II,
AHMAN0174_T3,II,
AHMAN0576_T1,II,
AHMAN0576_T2,II,
AHMAN0177_T1,II,
AHMAN0177_T2,II,
AHMAN0691_T1,II,
AHMAN0691_T2,II,
AHN0804_T,II,
AHN0805_T,II,
AIHAR0202_T,II,
AIHAR0203_T,II,
AIROL0503_T,II,
AIROL1006_T,II,
AISNE1087_T1,II,
AISNE1087_T2,II,
AISNE1087_T3,II,
AISNE0695_T1,III,control
AISNE0695_T2,III,experiment
AISNE0695_T3,III,experiment
AITIN1292_T,II,
AKERL1097_T,II,
ALBA1092_T,II,
ALBA0710_T1,III,experiment
ALBA0710_T2,III,control
ALBAI0808_T1,III,experiment
ALBAI0808_T2,III,control
ALBAO0704_T1,III,control
ALBAT0606_T,II,
ALBER0485_T,II,
ALBER0388_T,II,
ALBER0593_T,II,
ALEXA0379_T,II,
ALEXO0399_T,II,
ALEXO0601_T,II,
ALEXO0104_T,II,
ALEXO0604_T,II,
ALLEG0382_T,II,
ALLEG0685_T1,III,experiment
ALLEG0685_T2,III,control
ALLOU1105_T,II,
ALONS0588_T1,II,
ALONS0588_T2,II,
ALONS0588_T3,II,
ALONS0495_T1,III,control
ALONS0495_T2,III,experiment
ALONS0196_T,II,
AMADO1096_T,I/II,
AMADO0698_T1,II,
AMADO0698_T2,II,
AMADO0513_T1,II,
AMADO0513_T2,II,
AMORO0788_T,II,
AMORO0395_T,II,
AMREI0582_T,II,
ANDER0281_T,II,
ANDER1086_T1,II,
ANDER1086_T2,II,
ANDER0388_T,II,
ANDER0199_T1,III,experiment
ANDER0199_T2,III,control
ANDER0111_T1,III,control
ANDER0111_T2,III,experiment
ANDER0814_T,II,
ANDO0101_T,II,
ANDRE0605_T,II,
ANDRE0807_T,II,
ANDRE0514_T1,III,experiment
ANDRE0514_T2,III,control
ANSAR0405_T,II,
ANSAR0405b_T,II,
ANSFI0474_T,II,
ANTON0411_T,II,
AOGI0511_T,I/II,
AOGI1011_T,II,
AOGI0612_T,II,
AOGI0613_T,II,
ARAI1294_T,II,
ARDAV0998_T,II,
ARDAV1105_T,II,
ARDAV1206_T,II,
ARDAV0707_T,II,
ARDAV0408_T1,II,
ARDAV0408_T2,II,
ARPIN0203_T1,III,experiment
ARPIN0203_T2,III,control
ARTEA1008_T,I/II,
ASTON1092_T,II,
ATHAN0486_T,II,
ATIBA0294_T,II,
ATIEN1295_T,II,
AUSTR0286_T1,III,experiment
AUSTR0286_T2,III,experiment
AUSTR0286_T3,III,experiment
AWADA0508_T,I/II,
AWADA0113_T1,II,
AWADA0113_T2,II,
AWADA1113_T1,II,experiment
AWADA1113_T2,II,experiment
AWADA0414_T1,II,experiment
AWADA0414_T2,II,experiment
AWADA0414_T3,II,control
AWADA1016_T1,II,
AWADA1016_T2,II,
AWADA1216_T1,III,experiment
AWADA1216_T2,III,control
AZIM0396_T,II,
AZIZ1199_T,II,
BACHE0711_T1,II,experiment
BACHE0711_T2,II,control
BACHE0812_T1,II,control
BACHE0812_T2,II,experiment
BACHE0113_T,II,
BACHE0314_T,II,
BAFAL0693_T,II,
BAIDA0700_T1,II,
BAIDA0700_T2,II,
BAILE0608_T,II,
BAJET0794_T1,II,experiment
BAJET0794_T2,II,experiment
BAJET0994_T,II,
BAJET0998_T,II,
BAJET0299_T1,II,
BAJET0299_T2,II,
BAJET0102_T1,III,experiment
BAJET0102_T2,III,control
BAJET0405_T1,II,
BAJET0405_T2,II,
BALDI0598_T,II,
BALTA0502_T,II,
BAND1077_T1,II,
BAND1077_T2,II,
BAND1077_T3,II,
BAND1186_T,II,
BARKE0893_T,II,
BARDI0717_T,II,
BARNA0297_T1,II,
BARNA0297_T2,II,
BARNI0894_T,II,
BARRI0510_T1,III,experiment
BARRI0510_T2,III,control
BARTS0507_T,II,
BARTS0907_T,II,
BARTS0912_T,II,
BASCI0997_T1,II,
BASCI0997_T2,II,
BASEL0396_T,II,
BASEL0903_T1,II,
BASEL0903_T2,II,
BASEL0405_T,II,
BASEL0310_T,II,
BASEL0112_T1,III,control
BASEL0112_T2,III,experiment
BASEL0212_T1,III,experiment
BASEL0212_T2,III,control
BASEL0512_T1,II,experiment
BASEL0512_T2,II,control
BASEL0713_T1,II,
BASEL0713_T2,II,
BASEL0314_T1,III,experiment
BASEL0314_T2,III,control
BASEL0617_T1,II,
BASEL0617_T2,II,
BASEL0617_T3,II,
BASEL0617_T4,II,
BASEL0717_T1,III,experiment
BASEL0717_T2,III,control
BASSO1013_T,II,
BASTH0587_T,II,
BASTH0290_T,II,
BASTH0496_T1,II,experiment
BASTH0496_T2,II,experiment
BASTH0496_T3,II,control
BASTH0496_T4,II,experiment
BATIS0301_T1,III,experiment
BATIS0301_T2,III,control
BATIS0504_T,II,
BAUR0602_T,II,
BAUR0208_T,II,
BAWEJ0406_T,II,
BAYOC0608_T,II,
BEEX0381_T1,II,
BEEX0381_T2,II,
BEEX1287_T1,II,
BEEX1287_T2,II,
BEEX1206_T1,III,control
BEEX1206_T2,III,experiment
BEEX1206_T3,III,experiment
BEINA0607_T1,II,
BEINA0607_T2,II,
BELLM1291_T1,II,
BELLM1291_T2,II,
BELLM1291_T3,II,
BELPO0987_T,II,
BELTR0791_T1,II,
BELTR0791_T2,II,
BENDE1014_1,I/II,
BENNE1088_T1,III,experiment
BENNE1088_T2,III,control
BENVE0792_T,II,
BERGH0312_T1,III,experiment
BERGH0312_T2,III,control
BERGH0612_T1,III,experiment
BERGH0612_T2,III,control
BERGH0812_T,II,
BERRI1000_T,II,
BERRU1002_T1,III,control
BERRU1002_T2,III,experiment
BERRU1002_T3,III,experiment
BERRU1002_T4,III,experiment
BERRU0105_T,II,
