"Unique_ID","ECOG_0","ECOG_1","ECOG_2","ECOG_3","ECOG_4","N_Patient","Pub_Year","FRAC_MALE","AGE_MED","Prop_Visceral","OS","PFS","Arm.Name","Title","Arm_Type","Rand_Group"
"ACKLA0201_T1",0.34,0.56,0.1,0,0,223,2001,0,56,0.57,20.1,NA,"CEF","Dose-Intensive Epirubicin-Based Chemotherapy Is Superior to an Intensive Intravenous Cyclophosphamide, Methotrexate, and Fluorouracil Regimen in Metastatic Breast Cancer: A Randomized Multinational Study","experiment",""
"ACKLA0201_T2",0.36,0.54,0.1,0,0,237,2001,0,55,0.6,18.2,NA,"CMF","Dose-Intensive Epirubicin-Based Chemotherapy Is Superior to an Intensive Intravenous Cyclophosphamide, Methotrexate, and Fluorouracil Regimen in Metastatic Breast Cancer: A Randomized Multinational Study","control",""
"ALBAI0808_T1",NA,NA,NA,NA,NA,261,2008,0,53,0.729,18.6,5.9,"Gemcitabine / Paclitaxel","Gemcitabine Plus Paclitaxel Versus Paclitaxel Monotherapy in Patients With Metastatic Breast Cancer and Prior Anthracycline Treatment","experiment",""
"ALBAI0808_T2",NA,NA,NA,NA,NA,260,2008,0,53,0.73,15.8,3.9,"Paclitaxel","Gemcitabine Plus Paclitaxel Versus Paclitaxel Monotherapy in Patients With Metastatic Breast Cancer and Prior Anthracycline Treatment","control",""
"ANDER0199_T1",0.545,0.292,0.11,0.052,0,161,1999,0,58,0.35,20.8,NA,"CAF+TAM","Doxorubicin Versus Methotrexate Both Combined with Cyclophosphamide, 5-Fluorouracil and Tamoxifen in Postmenopausal Patients with Advanced Breast Cancer - a Randomised Study with more than 10 Years Follow-up from the Danish Breast Cancer Cooperative Group","experiment",""
"ANDER0199_T2",0.534,0.328,0.103,0.034,0,180,1999,0,58,0.45,17.4,NA,"CMF+TAM","Doxorubicin Versus Methotrexate Both Combined with Cyclophosphamide, 5-Fluorouracil and Tamoxifen in Postmenopausal Patients with Advanced Breast Cancer - a Randomised Study with more than 10 Years Follow-up from the Danish Breast Cancer Cooperative Group","control",""
"ARPIN0203_T1",0.519,0.361,0.12,0,0,108,2003,0,59,NA,NA,NA,"Idoxifene","Idoxifene versus tamoxifen: a randomized comparison in postmenopausal patients with metastatic breast cancer","experiment",""
"ARPIN0203_T2",0.477,0.423,0.099,0,0,111,2003,0,57,NA,NA,NA,"Tamoxifen","Idoxifene versus tamoxifen: a randomized comparison in postmenopausal patients with metastatic breast cancer","control",""
"BACHE0711_T1",0.33,0.61,0.06,0,0,33,2011,0,57,NA,36.4,12.4,"XT","Final Results of ERASME-4: A Randomized Trial of First-Line Docetaxel plus either Capecitabine or Epirubicin for Metastatic Breast Cancer","experiment",""
"BACHE0711_T2",0.32,0.65,0.03,0,0,35,2011,0,59,NA,26.6,6.8,"ET","Final Results of ERASME-4: A Randomized Trial of First-Line Docetaxel plus either Capecitabine or Epirubicin for Metastatic Breast Cancer","control",""
"BACHE0812_T1",0.426,0.519,0.056,0,0,57,2012,0,66,0.49,32.9,NA,"Tamoxifen Alone","Randomized Phase II Trial of Everolimus in Combination With Tamoxifen in Patients With Hormone Receptor-Positive, Human Epidermal Growth Factor Receptor 2-Negative Metastatic Breast Cancer With Prior Exposure to Aromatase Inhibitors: A GINECO Study","control",""
"BACHE0812_T2",0.604,0.34,0.057,0,0,54,2012,0,63,0.57,NA,NA,"Tamoxifen Plus Everolimus","Randomized Phase II Trial of Everolimus in Combination With Tamoxifen in Patients With Hormone Receptor-Positive, Human Epidermal Growth Factor Receptor 2-Negative Metastatic Breast Cancer With Prior Exposure to Aromatase Inhibitors: A GINECO Study","experiment",""
"BARRI0510_T1",0.612,0.371,0.017,0,0,238,2010,0,53,0.73,15.3,2.8,"Sunitinib","Phase III randomized trial of sunitinib versus capecitabine in patients with previously treated HER2-negative advanced breast cancer","experiment",""
"BARRI0510_T2",0.52,0.45,0.02,0,0,244,2010,0,53,0.72,24.6,4.2,"Capecitabine","Phase III randomized trial of sunitinib versus capecitabine in patients with previously treated HER2-negative advanced breast cancer","control",""
"BASEL0512_T1",0.687,0.296,0,0,0,115,2012,0,55.1,0.757,22.2,6.4,"Sorafenib plus Capecitabine population","Sorafenib in Combination With Capecitabine: An Oral Regimen for Patients With HER2-Negative Locally Advanced or Metastatic Breast Cancer","experiment",""
"BASEL0512_T2",0.675,0.298,0,0,0,114,2012,0.009,54.4,0.737,20.9,4.1,"Placebo plus Capecitabine population","Sorafenib in Combination With Capecitabine: An Oral Regimen for Patients With HER2-Negative Locally Advanced or Metastatic Breast Cancer","control",""
"BATIS0301_T1",0.36,0.51,0.13,0,0,142,2001,NA,55,0.71,19,NA,"MC","Reduced Cardiotoxicity and Preserved Antitumor Efficacy of Liposome-Encapsulated Doxorubicin and Cyclophosphamide Compared With Conventional Doxorubicin and Cyclophosphamide in a Randomized, Multicenter Trial of Metastatic Breast Cancer","experiment",""
"BATIS0301_T2",0.42,0.45,0.13,0,0,155,2001,NA,54,0.61,16,NA,"AC","Reduced Cardiotoxicity and Preserved Antitumor Efficacy of Liposome-Encapsulated Doxorubicin and Cyclophosphamide Compared With Conventional Doxorubicin and Cyclophosphamide in a Randomized, Multicenter Trial of Metastatic Breast Cancer","control",""
"BENNE1088_T1",0.28,0.396,0.323,0,0,167,1988,0,55,NA,12.57,NA,"CNF","A Randomized Multicenter Trial Comparing Mitoxantrone, Cyclophosphamide, and Fluorouracil With Doxorubicin, Cyclophosphamide, and Fluorouracil in the Therapy of Metastatic Breast Carcinoma","experiment",""
"BENNE1088_T2",0.267,0.416,0.317,0,0,164,1988,0,56,NA,12.83,NA,"CAF","A Randomized Multicenter Trial Comparing Mitoxantrone, Cyclophosphamide, and Fluorouracil With Doxorubicin, Cyclophosphamide, and Fluorouracil in the Therapy of Metastatic Breast Carcinoma","control",""
"BERGH0312_T1",0.56,0.42,0.01,0,0,296,2012,0,54,0.74,24.8,8.6,"Sunitinib + Docetaxel","First-Line Treatment of Advanced Breast Cancer With Sunitinib in Combination With Docetaxel Versus Docetaxel Alone: Results of a Prospective, Randomized Phase III Study","experiment",""
"BERGH0312_T2",0.54,0.46,0,0,0,297,2012,0,56,0.7,25.5,8.3,"Docetaxel","First-Line Treatment of Advanced Breast Cancer With Sunitinib in Combination With Docetaxel Versus Docetaxel Alone: Results of a Prospective, Randomized Phase III Study","control",""
"BERGH0612_T1",NA,NA,NA,NA,NA,258,2012,0,65,0.519,37.8,NA,"Anastrozole plus fulvestrant","FACT: An Open-Label Randomized Phase III Study of Fulvestrant and Anastrozole in Combination Compared With Anastrozole Alone As First-Line Therapy for Patients With Receptor-Positive Postmenopausal Breast Cancer","experiment",""
"BERGH0612_T2",NA,NA,NA,NA,NA,256,2012,0,63,0.484,38.2,NA,"Anastrozole","FACT: An Open-Label Randomized Phase III Study of Fulvestrant and Anastrozole in Combination Compared With Anastrozole Alone As First-Line Therapy for Patients With Receptor-Positive Postmenopausal Breast Cancer","control",""
"BISHO0899_T1",0.31,0.6,0.09,0,0,107,1999,0,54,0.75,17.3,5.3,"Paclitaxel","Initial Paclitaxel Improves Outcome Compared With CMFP Combination Chemotherapy as Front-Line Therapy in Untreated Metastatic Breast Cancer","experiment",""
"BISHO0899_T2",0.4,0.48,0.12,0,0,102,1999,0,54,0.71,13.9,6.4,"CMFP","Initial Paclitaxel Improves Outcome Compared With CMFP Combination Chemotherapy as Front-Line Therapy in Untreated Metastatic Breast Cancer","control",""
"BLACK0310_T1",0.47,0.49,0.04,0,0,148,2010,0,51,0.74,9.5,1.89,"Lapatinib","Randomized Study of Lapatinib Alone or in Combination With Trastuzumab in Women With ErbB2-Positive, Trastuzumab-Refractory Metastatic Breast Cancer","control",""
"BLACK0310_T2",0.54,0.41,0.05,0,0,148,2010,0,52,0.71,14,2.59,"Lapatinib Plus Trastuzumab","Randomized Study of Lapatinib Alone or in Combination With Trastuzumab in Women With ErbB2-Positive, Trastuzumab-Refractory Metastatic Breast Cancer","experiment",""
"BLAJM0399_T1",0.51,0.36,0.13,0,0,85,1999,0,54,0.494,17.3,NA,"FAC","A Prospective, Randomized Phase III Trial Comparing Combination Chemotherapy with Cyclophosphamide, Doxorubicin, and 5-Fluorouracil with Vinorelbine plus Doxorubicin in the Treatment of Advanced Breast Carcinoma","control",""
"BLAJM0399_T2",0.36,0.48,0.16,0,0,85,1999,0,53,0.565,17.8,NA,NA,"A Prospective, Randomized Phase III Trial Comparing Combination Chemotherapy with Cyclophosphamide, Doxorubicin, and 5-Fluorouracil with Vinorelbine plus Doxorubicin in the Treatment of Advanced Breast Carcinoma","experiment",""
"BLOHM0710_T1",0.65,0.35,0,0,0,111,2010,0,56,NA,19.9,NA,"EC","Epirubicin and cyclophosphamide versus epirubicin and docetaxel as first-line therapy for women with metastatic breast cancer: final results of a randomised phase III trial","control",""
"BLOHM0710_T2",0.62,0.38,0,0,0,125,2010,0,57,NA,30,NA,"ED","Epirubicin and cyclophosphamide versus epirubicin and docetaxel as first-line therapy for women with metastatic breast cancer: final results of a randomised phase III trial","experiment",""
"BLOMQ0393_T1",NA,NA,NA,0,0,83,1993,0,53.8,0.78,21.2,NA,"FEC Every 28 Days","Influence of Treatment Schedule on Toxicity and Efficacy of Cyclophosphamide, Epirubicin, and Fluorouracil in Metastatic Breast Cancer: A Randomized Trial Comparing Weekly and Every-4-Week Administration","control",""
"BLOMQ0393_T2",NA,NA,NA,0,0,83,1993,0,53.4,0.73,11.8,NA,"FEC Every 7 Days","Influence of Treatment Schedule on Toxicity and Efficacy of Cyclophosphamide, Epirubicin, and Fluorouracil in Metastatic Breast Cancer: A Randomized Trial Comparing Weekly and Every-4-Week Administration","experiment",""
"BOCCA1285_T1",NA,NA,NA,NA,NA,36,1985,0,60,0.333,20,NA,"Chemotherapy","Chemotherapy with or without tamoxifen in postmenopausal patients with late breast cancer: A randomized study","control",""
"BOCCA1285_T2",NA,NA,NA,NA,NA,32,1985,0,61,0.496,34,NA,"Chemohormone therapy","Chemotherapy with or without tamoxifen in postmenopausal patients with late breast cancer: A randomized study","experiment",""
"BONNE1102_T1",0.419,0.407,0.174,0,0,86,2002,0,54.9,NA,16,NA,"Docetaxel","Docetaxel vs 5-fluorouracil plus vinorelbine in metastatic breast cancer after anthracycline therapy failure","experiment",""
"BONNE1102_T2",0.422,0.378,0.2,0,0,90,2002,0,54.55,NA,15,NA,"FUN","Docetaxel vs 5-fluorouracil plus vinorelbine in metastatic breast cancer after anthracycline therapy failure","control",""
"BONNE1004_T1",0.61,0.36,0.03,0,0,70,2004,0,54,NA,34,NA,"ET","Phase II multicentre randomised study of docetaxel plus epirubicin vs 5-fluorouracil plus epirubicin and cyclophosphamide in metastatic breast cancer","experiment",""
"BONNE1004_T2",0.72,0.24,0.04,0,0,72,2004,0,54,NA,28,NA,"FEC","Phase II multicentre randomised study of docetaxel plus epirubicin vs 5-fluorouracil plus epirubicin and cyclophosphamide in metastatic breast cancer","control",""
"BONTE0698_T1",0.32,0.42,0.24,0,0,116,1998,0,56,0.42,10.97,NA,"Doxorubicin","Doxorubicin vs epirubicin, report of a second-line randomized phase II/III study in advanced breast cancer","control",""
"BONTE0698_T2",0.31,0.46,0.22,0,0,113,1998,0,56,0.49,10.27,NA,"Epirubicin","Doxorubicin vs epirubicin, report of a second-line randomized phase II/III study in advanced breast cancer","experiment",""
"BONTE1005_T1",0.54,0.42,0.03,0.01,0,108,2005,0,53,0.72,22.6,NA,"AT","Phase II to III Study Comparing Doxorubicin and Docetaxel With Fluorouracil, Doxorubicin, and Cyclophosphamide As First-Line Chemotherapy in Patients With Metastatic Breast Cancer: Results of a Dutch Community Setting Trial for the Clinical Trial Group of the Comprehensive Cancer Centre","experiment",""
"BONTE1005_T2",0.53,0.4,0.07,0,0,107,2005,0,54,0.8,16.2,NA,"FAC","Phase II to III Study Comparing Doxorubicin and Docetaxel With Fluorouracil, Doxorubicin, and Cyclophosphamide As First-Line Chemotherapy in Patients With Metastatic Breast Cancer: Results of a Dutch Community Setting Trial for the Clinical Trial Group of the Comprehensive Cancer Centre","control",""
"BRUFS0811_T1",0.606,0.394,0,0,0,94,2011,0,57.5,0.723,25,8.8,"PB","A Randomized Phase II Study of Paclitaxel and Bevacizumab With and Without Gemcitabine as First-Line Treatment for Metastatic Breast Cancer","control",""
"BRUFS0811_T2",0.659,0.341,0,0,0,93,2011,0,55.2,0.71,24.3,11.3,"PB+G","A Randomized Phase II Study of Paclitaxel and Bevacizumab With and Without Gemcitabine as First-Line Treatment for Metastatic Breast Cancer","experiment",""
"BUZDA0696_T1",0.43,0.38,0.17,0.02,0,195,1996,0,65,0.44,27.13,NA,"Protocol 03: Fadrozole HCL","Fadrozole HCL (CGS-16949A) versus Megestrol Acetate Treatment of Postmenopausal Patients with Metastatic Breast Cancer","experiment","A"
"BUZDA0696_T2",0.34,0.48,0.18,0,0,184,1996,0,68,0.48,23.07,NA,"Protocol 03: Megestrol Acetate","Fadrozole HCL (CGS-16949A) versus Megestrol Acetate Treatment of Postmenopausal Patients with Metastatic Breast Cancer","control","A"
"BUZDA0696_T3",0.44,0.43,0.12,0.01,0,150,1996,0,66.5,0.46,25.77,NA,"Protocol 06: Fadrozole HCL","Fadrozole HCL (CGS-16949A) versus Megestrol Acetate Treatment of Postmenopausal Patients with Metastatic Breast Cancer","experiment","B"
"BUZDA0696_T4",0.57,0.32,0.1,0,0,148,1996,0,65,0.45,27.9,NA,"Protocol 06: Megestrol Acetate","Fadrozole HCL (CGS-16949A) versus Megestrol Acetate Treatment of Postmenopausal Patients with Metastatic Breast Cancer","control","B"
"BYRNE0997_T1",0.314,0.543,0.124,0.019,0,109,1997,0,NA,NA,17.2,NA,"TAM + MPA","Medroxyprogesterone Acetate Addition or Substitution for Tamoxifen in Advanced Tamoxifen-Resistant Breast Cancer: A Phase III Randomized Trial","experiment",""
