IDexp,IDctl,rcode,effect,effectSD
ABRAM0199_T2,ABRAM0199_T1,ABRAM0199 ,0.128124512,0.174539074
ABRAM0199_T3,ABRAM0199_T1,ABRAM0199 ,-0.022197965,0.182211759
ACKLA0201_T1,ACKLA0201_T2,ACKLA0201 ,-0.139262067,0.115304446
AHMAN0691_T1,AHMAN0691_T2,AHMAN0691 ,-0.067098639,0.229495213
AISNE0695_T2,AISNE0695_T1,AISNE0695 ,-0.098484794,0.104225072
AISNE0695_T3,AISNE0695_T1,AISNE0695 ,-0.232130967,0.108386504
AISNE1087_T1,AISNE1087_T2,AISNE1087 ,0.449025783,0.218637137
AISNE1087_T3,AISNE1087_T2,AISNE1087 ,0.392679155,0.224300154
ALBA0710_T1,ALBA0710_T2,ALBA0710 ,-0.15082289,0.199938387
ALBAI0808_T1,ALBAI0808_T2,ALBAI0808 ,-0.198450939,0.102164522
ALONS0495_T2,ALONS0495_T1,ALONS0495 ,-0.221338605,0.319377297
ANDER0111_T2,ANDER0111_T1,ANDER0111 ,0.009950331,0.17682651
ANDER0199_T1,ANDER0199_T2,ANDER0199 ,-0.149593311,0.109016831
ARPIN0203_T1,ARPIN0203_T2,ARPIN0203 ,-0.058007719,0.198401846
AUSTR0286_T2,AUSTR0286_T1,AUSTR0286 ,0.03166511,0.185005613
AUSTR0286_T3,AUSTR0286_T1,AUSTR0286 ,0.215770646,0.191569123
AWADA0414_T2,AWADA0414_T1,AWADA0414 ,0.186264153,0.278074393
AWADA0414_T3,AWADA0414_T1,AWADA0414 ,0.315946832,0.361698407
AWADA1113_T2,AWADA1113_T1,AWADA1113 ,-0.443015406,0.352065224
AWADA1216_T1,AWADA1216_T2,AWADA1216 ,0.048790164,0.164799049
BACHE0711_T2,BACHE0711_T1,BACHE0711 ,0.271446045,0.454143142
BACHE0812_T2,BACHE0812_T1,BACHE0812 ,-0.798507696,0.310310632
BAJET0794_T2,BAJET0794_T1,BAJET0794 ,-0.211378376,0.286022569
BARRI0510_T1,BARRI0510_T2,BARRI0510 ,0.157003749,0.169118771
BASEL0112_T2,BASEL0112_T1,BASEL0112 ,-0.385662481,0.103436877
BASEL0212_T1,BASEL0212_T2,BASEL0212 ,-0.116533816,0.104599097
BASEL0314_T1,BASEL0314_T2,BASEL0314 ,-0.231932057,0.133886523
BASEL0512_T1,BASEL0512_T2,BASEL0512 ,-0.15082289,0.178909025
BASEL0617_T3,BASEL0617_T4,BASEL0617 ,0.246860078,0.342625078
BASEL0713_T1,BASEL0713_T2,BASEL0713 ,-0.198450939,0.194427055
BASTH0496_T2,BASTH0496_T1,BASTH0496 ,0.18955362,0.23877758
