IDexp,IDctl,rcode,effect,effectSD
ALBAI0808_T1,ALBAI0808_T2,ALBAI0808 ,-0.314710745,0.090571627
ALLEG0685_T2,ALLEG0685_T1,ALLEG0685 ,-0.496580524,0.29513636
ANDRE0514_T1,ANDRE0514_T2,ANDRE0514 ,-0.248461359,0.096810356
AWADA0414_T2,AWADA0414_T1,AWADA0414 ,0.462936387,0.180351147
AWADA0414_T3,AWADA0414_T1,AWADA0414 ,0.2537293,0.245464736
AWADA1113_T2,AWADA1113_T1,AWADA1113 ,0.143592908,0.279467927
AWADA1216_T1,AWADA1216_T2,AWADA1216 ,0.019802627,0.114731172
BACHE0711_T2,BACHE0711_T1,BACHE0711 ,0.593652562,0.266799885
BAJET0102_T2,BAJET0102_T1,BAJET0102 ,-0.136474923,0.190289811
BARRI0510_T1,BARRI0510_T2,BARRI0510 ,0.385262401,0.121818163
BASEL0112_T2,BASEL0112_T1,BASEL0112 ,-0.385662481,0.082038146
BASEL0212_T1,BASEL0212_T2,BASEL0212 ,-0.967584026,0.111536184
BASEL0314_T1,BASEL0314_T2,BASEL0314 ,-0.177931208,0.130787037
BASEL0512_T1,BASEL0512_T2,BASEL0512 ,-0.544727175,0.173696326
BASEL0617_T3,BASEL0617_T4,BASEL0617 ,0,0.398076277
BASEL0713_T1,BASEL0713_T2,BASEL0713 ,-0.400477567,0.184840993
BASEL0717_T1,BASEL0717_T2,BASEL0717 ,-0.248461359,0.072435961
BEEX0381_T2,BEEX0381_T1,BEEX0381 ,-0.203201925,0.375891204
BEEX1206_T2,BEEX1206_T1,BEEX1206 ,0.115867995,0.13869587
BEEX1206_T3,BEEX1206_T1,BEEX1206 ,-0.055078273,0.138214984
BERGH0312_T1,BERGH0312_T2,BERGH0312 ,-0.083381609,0.128180257
BERGH0612_T2,BERGH0612_T1,BERGH0612 ,0.035452292,0.104251184
BIGAT0702_T2,BIGAT0702_T1,BIGAT0702 ,0.058268908,0.12409263
BISHO0899_T2,BISHO0899_T1,BISHO0899 ,-0.194403557,0.129466252
BLACK0310_T2,BLACK0310_T1,BLACK0310 ,-0.314710745,0.124887046
BLOHM0710_T2,BLOHM0710_T1,BLOHM0710 ,-0.136635824,0.159120087
BOCCA1285_T2,BOCCA1285_T1,BOCCA1285 ,-0.50298505,0.308885165
BOER0412_T1,BOER0412_T2,BOER0412 ,-0.371063681,0.208103187
BRAMB0476_T2,BRAMB0476_T1,BRAMB0476 ,-0.119894306,0.240599899
BRUFS0811_T2,BRUFS0811_T1,BRUFS0811 ,-0.198450939,0.163741245
CASSI0508_T2,CASSI0508_T1,CASSI0508 ,0.019640558,0.151197842
CHAN0409_T2,CHAN0409_T1,CHAN0409 ,-0.170407633,0.105894509
CHANN0899_T2,CHANN0899_T1,CHANN0899 ,-0.075754049,0.132006825
CLEMO1110_T2,CLEMO1110_T1,CLEMO1110 ,-0.386827948,0.290525275
CONTE0387_T2,CONTE0387_T1,CONTE0387 ,-0.152320656,0.238891923
CONTE0796_T2,CONTE0796_T1,CONTE0796 ,-0.156160668,0.135594553
CONTE0804_T2,CONTE0804_T1,CONTE0804 ,-0.156007982,0.167775289
CORTE1215_T2,CORTE1215_T1,CORTE1215 ,-0.165772965,0.248008666
CRIST0310_T2,CRIST0310_T1,CRIST0310 ,0.449258938,0.277106733
DELMA0401_T2,DELMA0401_T1,DELMA0401 ,0.041456421,0.197842447
DESHM1107_T2,DESHM1107_T1,DESHM1107 ,-0.391903468,0.145038447
DICKL0816_T1,DICKL0816_T2,DICKL0816 ,-0.287682072,0.124188697
DIERA0915_T2,DIERA0915_T1,DIERA0915 ,0.416134625,0.226781283
DIERA0915_T3,DIERA0915_T1,DIERA0915 ,-0.175054014,0.236187136
DILEO1208_T1,DILEO1208_T2,DILEO1208 ,-0.139262067,0.096250297
DROOG1016_T2,DROOG1016_T1,DROOG1016 ,-0.019495082,0.301179808
EISEN0498_T2,EISEN0498_T1,EISEN0498 ,-0.161667175,0.397218379
EJLER0493_T2,EJLER0493_T1,EJLER0493 ,0.394896905,0.136010594
EJLER0604_T2,EJLER0604_T1,EJLER0604 ,-0.295033383,0.120293739
FALAN0809_T2,FALAN0809_T1,FALAN0809 ,-0.011787237,0.200796121
FINN1116_T2,FINN1116_T1,FINN1116 ,0.580460426,0.105546891
FORER0615_T2,FORER0615_T1,FORER0615 ,-0.289940181,0.286838361
GENNA0806_T2,GENNA0806_T1,GENNA0806 ,-0.126876361,0.18417502
GIANN0513_T2,GIANN0513_T1,GIANN0513 ,-0.171097339,0.119460976
GOETZ1117_T1,GOETZ1117_T2,GOETZ1117 ,-0.616186139,0.143649082
GOMEZ0216_T2,GOMEZ0216_T1,GOMEZ0216 ,0.125163143,324.4428384
GOMEZ0216_T3,GOMEZ0216_T1,GOMEZ0216 ,0.103184236,324.4428384
GRADI0113_T2,GRADI0113_T1,GRADI0113 ,0.223171522,0.164688043
HAMBE0411_T2,HAMBE0411_T1,HAMBE0411 ,0.296331821,0.265379708
HARBE0316_T2,HARBE0316_T1,HARBE0316 ,0.68117099,324.4428414
