,X,rho0,rhoI,s0S,s0T,lCT,cw,v1A,z1A,alpha1A,beta1A,v2A,z2A,nA,cwA,cpA,costA,v1B,z1B,alpha1B,beta1B,v2B,z2B,nB,cwB,cpB,costB,v1C,z1C,alpha1C,beta1C,v2C,z2C,nC,cwC,cpC,costC,best_competitor,rel_cost
1,1,0.01,0.01,0.1,0.1,0.02,1.00E+05,0.008096395,2.3939798,0.016666667,0.487846774,0.008019826,1.961204461,509.4904798,2216687.032,432.5122537,2217119.544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008096395,2.3939798,0.016666667,0.487846774,0.008019826,1.961204461,574.9200014,2216528.108,432.4821784,2216960.59,1,0.999928306
2,2,0.1,0.01,0.1,0.1,0.02,1.00E+05,0.008096395,2.3939798,0.016666667,0.487846774,0.008019826,1.961204461,509.4904798,2216687.032,432.5122537,2217119.544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008096395,2.3939798,0.016666667,0.487846774,0.008019826,1.961204461,576.91543,2198743.109,429.0694319,2199172.179,1,0.991905098
3,3,0.2,0.01,0.1,0.1,0.02,1.00E+05,0.008096395,2.3939798,0.016666667,0.487846774,0.008019826,1.961204461,509.4904798,2216687.032,432.5122537,2217119.544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008096395,2.3939798,0.016666667,0.487846774,0.008019826,1.961204461,511.3521508,2142536.583,418.2487631,2142954.832,1,0.966549069
4,4,0.3,0.01,0.1,0.1,0.02,1.00E+05,0.008096395,2.3939798,0.016666667,0.487846774,0.008019826,1.961204461,509.4904798,2216687.032,432.5122537,2217119.544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008096395,2.3939798,0.016666667,0.487846774,0.008019826,1.961204461,604.9819248,2048195.156,400.0610187,2048595.217,1,0.923989517
5,5,0.4,0.01,0.1,0.1,0.02,1.00E+05,0.008096395,2.3939798,0.016666667,0.487846774,0.008019826,1.961204461,509.4904798,2216687.032,432.5122537,2217119.544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008096395,2.3939798,0.016666667,0.487846774,0.008019826,1.961204461,486.6216766,1918143.943,374.9560052,1918518.899,1,0.865320458
6,6,0.5,0.01,0.1,0.1,0.02,1.00E+05,0.008096395,2.3939798,0.016666667,0.487846774,0.008019826,1.961204461,509.4904798,2216687.032,432.5122537,2217119.544,0.008096395,2.3939798,0.016666667,0.487846774,0.008019826,1.961204461,1795.930984,6544472.569,1299.230734,6545771.799,0.008096395,2.3939798,0.016666667,0.487846774,0.008019826,1.961204461,513.6943091,1759680.374,344.2911876,1760024.665,1,0.793833905
7,7,0.6,0.01,0.1,0.1,0.02,1.00E+05,0.008096395,2.3939798,0.016666667,0.487846774,0.008019826,1.961204461,509.4904798,2216687.032,432.5122537,2217119.544,0.008096395,2.3939798,0.016666667,0.487846774,0.008019826,1.961204461,743.0925219,3049400.485,598.9419602,3049999.427,0.008096395,2.3939798,0.016666667,0.487846774,0.008019826,1.961204461,531.0576372,1586331.048,310.6103025,1586641.658,1,0.715631984
8,8,0.7,0.01,0.1,0.1,0.02,1.00E+05,0.008096395,2.3939798,0.016666667,0.487846774,0.008019826,1.961204461,509.4904798,2216687.032,432.5122537,2217119.544,0.008096395,2.3939798,0.016666667,0.487846774,0.008019826,1.961204461,688.4420099,2089110.488,409.0603335,2089519.548,0.008096395,2.3939798,0.016666667,0.487846774,0.008019826,1.961204461,694.0371904,1414621.08,277.0665279,1414898.146,1,0.677140421
9,9,0.8,0.01,0.1,0.1,0.02,1.00E+05,0.008096395,2.3939798,0.016666667,0.487846774,0.008019826,1.961204461,509.4904798,2216687.032,432.5122537,2217119.544,0.008096395,2.3939798,0.016666667,0.487846774,0.008019826,1.961204461,526.1095667,1620943.587,317.2275204,1621260.814,0.008096395,2.3939798,0.016666667,0.487846774,0.008019826,1.961204461,289.2171298,1257583.948,246.2129344,1257830.161,1,0.775834554
10,10,0.9,0.01,0.1,0.1,0.02,1.00E+05,0.008096395,2.3939798,0.016666667,0.487846774,0.008019826,1.961204461,509.4904798,2216687.032,432.5122537,2217119.544,0.008096395,2.3939798,0.016666667,0.487846774,0.008019826,1.961204461,371.6322996,1336674.165,261.6849914,1336935.85,0.008096395,2.3939798,0.016666667,0.487846774,0.008019826,1.961204461,450.810958,1121208.095,219.2881117,1121427.383,1,0.838804183
11,11,0.99,0.01,0.1,0.1,0.02,1.00E+05,0.008096395,2.3939798,0.016666667,0.487846774,0.008019826,1.961204461,509.4904798,2216687.032,432.5122537,2217119.544,0.008096395,2.3939798,0.016666667,0.487846774,0.008019826,1.961204461,315.0870839,1159578.947,227.1426662,1159806.09,0.008096395,2.3939798,0.016666667,0.487846774,0.008019826,1.961204461,353.5454925,1016465.89,198.535055,1016664.425,1,0.876581382
12,12,0.01,0.1,0.1,0.1,0.02,1.00E+05,0.008096395,2.3939798,0.016666667,0.487846774,0.008019826,1.961204461,509.4904798,2216687.032,432.5122537,2217119.544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008096395,2.3939798,0.016666667,0.487846774,0.008019826,1.961204461,507.6407458,2208257.482,430.866757,2208688.348,1,0.99619723
13,13,0.1,0.1,0.1,0.1,0.02,1.00E+05,0.008096395,2.3939798,0.016666667,0.487846774,0.008019826,1.961204461,509.4904798,2216687.032,432.5122537,2217119.544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008096395,2.3939798,0.016666667,0.487846774,0.008019826,1.961204461,508.6663868,2200791.064,429.5088933,2201220.573,1,0.992828997
14,14,0.2,0.1,0.1,0.1,0.02,1.00E+05,0.008096395,2.3939798,0.016666667,0.487846774,0.008019826,1.961204461,509.4904798,2216687.032,432.5122537,2217119.544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008096395,2.3939798,0.016666667,0.487846774,0.008019826,1.961204461,503.3300934,2155865.301,420.9269696,2156286.228,1,0.972562005
15,15,0.3,0.1,0.1,0.1,0.02,1.00E+05,0.008096395,2.3939798,0.016666667,0.487846774,0.008019826,1.961204461,509.4904798,2216687.032,432.5122537,2217119.544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008096395,2.3939798,0.016666667,0.487846774,0.008019826,1.961204461,479.6305174,2071915.989,404.7948079,2072320.784,1,0.934690594
16,16,0.4,0.1,0.1,0.1,0.02,1.00E+05,0.008096395,2.3939798,0.016666667,0.487846774,0.008019826,1.961204461,509.4904798,2216687.032,432.5122537,2217119.544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008096395,2.3939798,0.016666667,0.487846774,0.008019826,1.961204461,701.8705218,1950192.943,381.3337827,1950574.277,1,0.879778577
17,17,0.5,0.1,0.1,0.1,0.02,1.00E+05,0.008096395,2.3939798,0.016666667,0.487846774,0.008019826,1.961204461,509.4904798,2216687.032,432.5122537,2217119.544,0.008096395,2.3939798,0.016666667,0.487846774,0.008019826,1.961204461,1795.930984,6544472.569,1299.230734,6545771.799,0.008096395,2.3939798,0.016666667,0.487846774,0.008019826,1.961204461,637.7080972,1796515.289,351.6204128,1796866.909,1,0.810451071
18,18,0.6,0.1,0.1,0.1,0.02,1.00E+05,0.008096395,2.3939798,0.016666667,0.487846774,0.008019826,1.961204461,509.4904798,2216687.032,432.5122537,2217119.544,0.008096395,2.3939798,0.016666667,0.487846774,0.008019826,1.961204461,743.0925219,3049400.485,598.9419602,3049999.427,0.008096395,2.3939798,0.016666667,0.487846774,0.008019826,1.961204461,543.785958,1623526.487,318.0199448,1623844.507,1,0.732411796
19,19,0.7,0.1,0.1,0.1,0.02,1.00E+05,0.008096395,2.3939798,0.016666667,0.487846774,0.008019826,1.961204461,509.4904798,2216687.032,432.5122537,2217119.544,0.008096395,2.3939798,0.016666667,0.487846774,0.008019826,1.961204461,688.4420099,2089110.488,409.0603335,2089519.548,0.008096395,2.3939798,0.016666667,0.487846774,0.008019826,1.961204461,552.1387864,1448466.413,283.8202668,1448750.233,1,0.693341316
20,20,0.8,0.1,0.1,0.1,0.02,1.00E+05,0.008096395,2.3939798,0.016666667,0.487846774,0.008019826,1.961204461,509.4904798,2216687.032,432.5122537,2217119.544,0.008096395,2.3939798,0.016666667,0.487846774,0.008019826,1.961204461,526.1095667,1620943.587,317.2275204,1621260.814,0.008096395,2.3939798,0.016666667,0.487846774,0.008019826,1.961204461,287.2502639,1286292.669,251.9473375,1286544.616,1,0.793545742
21,21,0.9,0.1,0.1,0.1,0.02,1.00E+05,0.008096395,2.3939798,0.016666667,0.487846774,0.008019826,1.961204461,509.4904798,2216687.032,432.5122537,2217119.544,0.008096395,2.3939798,0.016666667,0.487846774,0.008019826,1.961204461,371.6322996,1336674.165,261.6849914,1336935.85,0.008096395,2.3939798,0.016666667,0.487846774,0.008019826,1.961204461,479.8124008,1144692.205,223.975628,1144916.18,1,0.856373311
22,22,0.99,0.1,0.1,0.1,0.02,1.00E+05,0.008096395,2.3939798,0.016666667,0.487846774,0.008019826,1.961204461,509.4904798,2216687.032,432.5122537,2217119.544,0.008096395,2.3939798,0.016666667,0.487846774,0.008019826,1.961204461,315.0870839,1159578.947,227.1426662,1159806.09,0.008096395,2.3939798,0.016666667,0.487846774,0.008019826,1.961204461,393.7179447,1035859.743,202.3983159,1036062.141,1,0.893306347
23,23,0.01,0.2,0.1,0.1,0.02,1.00E+05,0.008096395,2.3939798,0.016666667,0.487846774,0.008019826,1.961204461,509.4904798,2216687.032,432.5122537,2217119.544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008096395,2.3939798,0.016666667,0.487846774,0.008019826,1.961204461,511.2274435,2180647.509,425.4641938,2181072.974,1,0.983741711
