"","typeI","typeII","shape","percent"
"1",0.0512,0.79604,1.8,0.9
"2",0.0499,0.79638,1.82,0.91
"3",0.04978,0.7943,1.84,0.92
"4",0.05034,0.79694,1.86,0.93
"5",0.05016,0.79906,1.88,0.94
"6",0.04792,0.79634,1.9,0.95
"7",0.0515,0.79638,1.92,0.96
"8",0.04978,0.79634,1.94,0.97
"9",0.05046,0.79912,1.96,0.98
"10",0.04864,0.79774,1.98,0.99
"11",0.0494,0.79828,2,1
"12",0.04946,0.79836,2.02,1.01
"13",0.04776,0.79438,2.04,1.02
"14",0.05002,0.79748,2.06,1.03
"15",0.04748,0.7995,2.08,1.04
"16",0.04714,0.79902,2.1,1.05
"17",0.04974,0.79564,2.12,1.06
"18",0.0506,0.7991,2.14,1.07
"19",0.04868,0.80002,2.16,1.08
"20",0.04958,0.79706,2.18,1.09
"21",0.04962,0.79778,2.2,1.1
