"","typeI","typeII","dS","dT","percentage"
"1",0.05422,0.84582,-0.1632268,0,-0.5
"2",0.05334,0.84228,-0.14690412,0,-0.45
"3",0.05228,0.8363,-0.13058144,0,-0.4
"4",0.05106,0.83416,-0.11425876,0,-0.35
"5",0.04998,0.8287,-0.09793608,0,-0.3
"6",0.05048,0.8223,-0.0816134,0,-0.25
"7",0.05032,0.81638,-0.06529072,0,-0.2
"8",0.04968,0.8136,-0.04896804,0,-0.15
"9",0.05012,0.80972,-0.03264536,0,-0.1
"10",0.05082,0.80252,-0.01632268,0,-0.05
"11",0.04966,0.79574,0,0,0
"12",0.05022,0.79372,0.01632268,0,0.05
"13",0.0518,0.78788,0.03264536,0,0.1
"14",0.04964,0.78528,0.04896804,0,0.15
"15",0.05146,0.77352,0.06529072,0,0.2
"16",0.05144,0.76908,0.0816134,0,0.25
"17",0.05248,0.76494,0.09793608,0,0.3
"18",0.05458,0.75482,0.11425876,0,0.35
"19",0.0542,0.75026,0.13058144,0,0.4
"20",0.05502,0.74396,0.14690412,0,0.45
"21",0.05468,0.7373,0.1632268,0,0.5
