"","typeI","typeII","dS","dT","percentage"
"1",0.08774,0.9086,0,-0.1273015,-0.5
"2",0.07556,0.89996,0,-0.11457135,-0.45
"3",0.07,0.89232,0,-0.1018412,-0.4
"4",0.06696,0.88506,0,-0.08911105,-0.35
"5",0.06046,0.8727,0,-0.0763809,-0.3
"6",0.05974,0.86274,0,-0.06365075,-0.25
"7",0.05546,0.84958,0,-0.0509206,-0.2
"8",0.05096,0.83916,0,-0.03819045,-0.15
"9",0.05138,0.8233,0,-0.0254603,-0.1
"10",0.05112,0.81362,0,-0.01273015,-0.05
"11",0.04908,0.7976,0,0,0
"12",0.05034,0.78492,0,0.01273015,0.05
"13",0.05028,0.7646,0,0.0254603,0.1
"14",0.05502,0.75004,0,0.03819045,0.15
"15",0.05484,0.73092,0,0.0509206,0.2
"16",0.05988,0.71614,0,0.06365075,0.25
"17",0.0648,0.69424,0,0.0763809,0.3
"18",0.0684,0.67588,0,0.08911105,0.35
"19",0.07532,0.6582,0,0.1018412,0.4
"20",0.08082,0.63656,0,0.11457135,0.45
"21",0.09056,0.6134,0,0.1273015,0.5
