"","typeI","typeII","dS","dT","percentage"
"1",0.10978,0.93228,0,-0.1273015,-0.5
"2",0.09658,0.92236,0,-0.11457135,-0.45
"3",0.08574,0.91226,0,-0.1018412,-0.4
"4",0.07716,0.90308,0,-0.08911105,-0.35
"5",0.07048,0.89328,0,-0.0763809,-0.3
"6",0.06252,0.87748,0,-0.06365075,-0.25
"7",0.06076,0.86376,0,-0.0509206,-0.2
"8",0.05594,0.85138,0,-0.03819045,-0.15
"9",0.05178,0.8371,0,-0.0254603,-0.1
"10",0.0495,0.8171,0,-0.01273015,-0.05
"11",0.05008,0.8005,0,0,0
"12",0.05114,0.7816,0,0.01273015,0.05
"13",0.05084,0.75952,0,0.0254603,0.1
"14",0.05542,0.74006,0,0.03819045,0.15
"15",0.05764,0.7191,0,0.0509206,0.2
"16",0.06548,0.6982,0,0.06365075,0.25
"17",0.07138,0.66908,0,0.0763809,0.3
"18",0.08032,0.6508,0,0.08911105,0.35
"19",0.08894,0.62126,0,0.1018412,0.4
"20",0.10008,0.5929,0,0.11457135,0.45
"21",0.11066,0.57062,0,0.1273015,0.5
