"","typeI","typeII","s0S","percent"
"1",0.04792,0.7927,0.29380824,0.9
"2",0.04848,0.79286,0.297072776,0.91
"3",0.0478,0.794,0.300337312,0.92
"4",0.04896,0.79214,0.303601848,0.93
"5",0.04724,0.79402,0.306866384,0.94
"6",0.04878,0.7934,0.31013092,0.95
"7",0.04922,0.79638,0.313395456,0.96
"8",0.05038,0.79614,0.316659992,0.97
"9",0.04904,0.7946,0.319924528,0.98
"10",0.04804,0.7955,0.323189064,0.99
"11",0.05072,0.7954,0.3264536,1
"12",0.05078,0.7963,0.329718136,1.01
"13",0.04972,0.79802,0.332982672,1.02
"14",0.0506,0.79944,0.336247208,1.03
"15",0.05044,0.80098,0.339511744,1.04
"16",0.05024,0.79994,0.34277628,1.05
"17",0.05122,0.80242,0.346040816,1.06
"18",0.05152,0.79978,0.349305352,1.07
"19",0.05116,0.79896,0.352569888,1.08
"20",0.05124,0.80052,0.355834424,1.09
"21",0.05062,0.79766,0.35909896,1.1
